file_N:30,train,seed:None,percent:5025,measured,n:0, N:4
t,I,V,V'
0.0,-0.04209,-54.17089,-0.04206
0.01,-0.04206,-54.19169,-0.04202
0.02,-0.04202,-54.21901,-0.04174
0.03,-0.04174,-54.24198,-0.04139
0.04,-0.04139,-54.26404,-0.04136
0.05,-0.04136,-54.27523,-0.04139
0.06,-0.04139,-54.28414,-0.04124
0.07,-0.04124,-54.2944,-0.04107
0.08,-0.04107,-54.30494,-0.04083
0.09,-0.04083,-54.3074,-0.04059
0.1,-0.04059,-54.30818,-0.04049
0.11,-0.04049,-54.29511,-0.04042
0.12,-0.04042,-54.27916,-0.0401
0.13,-0.0401,-54.26464,-0.03973
0.14,-0.03973,-54.25043,-0.03947
0.15,-0.03947,-54.22065,-0.03924
0.16,-0.03924,-54.18762,-0.03959
0.17,-0.03959,-54.19683,-0.04007
0.18,-0.04007,-54.21486,-0.04037
0.19,-0.04037,-54.21721,-0.04063
0.2,-0.04063,-54.21629,-0.04073
0.21,-0.04073,-54.21327,-0.0408
0.22,-0.0408,-54.20982,-0.04115
0.23,-0.04115,-54.22118,-0.04156
0.24,-0.04156,-54.23563,-0.04157
0.25,-0.04157,-54.24476,-0.04151
0.26,-0.04151,-54.25279,-0.04128
0.27,-0.04128,-54.25661,-0.04101
0.28,-0.04101,-54.25955,-0.0407
0.29,-0.0407,-54.27232,-0.04038
0.3,-0.04038,-54.28715,-0.0404
0.31,-0.0404,-54.30446,-0.04049
0.32,-0.04049,-54.3223,-0.04077
0.33,-0.04077,-54.3505,-0.04109
0.34,-0.04109,-54.38087,-0.04092
0.35000000000000003,-0.04092,-54.38745,-0.04066
0.36,-0.04066,-54.38905,-0.0402
0.37,-0.0402,-54.37694,-0.0397
0.38,-0.0397,-54.36196,-0.03992
0.39,-0.03992,-54.36562,-0.04028
0.4,-0.04028,-54.37319,-0.04033
0.41000000000000003,-0.04033,-54.37357,-0.04032
0.42,-0.04032,-54.37245,-0.04044
0.43,-0.04044,-54.37607,-0.04059
0.44,-0.04059,-54.3807,-0.04095
0.45,-0.04095,-54.38233,-0.04137
0.46,-0.04137,-54.38334,-0.0419
0.47000000000000003,-0.0419,-54.37923,-0.04245
0.48,-0.04245,-54.37404,-0.04263
0.49,-0.04263,-54.36801,-0.04273
0.5,-0.04273,-54.3618,-0.04216
0.51,-0.04216,-54.34715,-0.04145
0.52,-0.04145,-54.33074,-0.04053
0.53,-0.04053,-54.30583,-0.03956
0.54,-0.03956,-54.27914,-0.03936
0.55,-0.03936,-54.2626,-0.03931
0.56,-0.03931,-54.24819,-0.03927
0.5700000000000001,-0.03927,-54.23586,-0.03922
0.58,-0.03922,-54.22397,-0.03948
0.59,-0.03948,-54.22125,-0.03979
0.6,-0.03979,-54.22046,-0.04027
0.61,-0.04027,-54.21306,-0.04078
0.62,-0.04078,-54.20428,-0.04127
0.63,-0.04127,-54.20621,-0.04174
0.64,-0.04174,-54.21038,-0.04195
0.65,-0.04195,-54.22019,-0.04209
0.66,-0.04209,-54.23117,-0.04215
0.67,-0.04215,-54.25329,-0.04219
0.68,-0.04219,-54.27775,-0.04204
0.6900000000000001,-0.04204,-54.29371,-0.04186
0.7000000000000001,-0.04186,-54.3079,-0.04156
0.71,-0.04156,-54.3186,-0.04124
0.72,-0.04124,-54.32858,-0.04087
0.73,-0.04087,-54.33411,-0.04049
0.74,-0.04049,-54.33872,-0.04015
0.75,-0.04015,-54.34237,-0.03981
0.76,-0.03981,-54.34582,-0.0396
0.77,-0.0396,-54.34023,-0.03941
0.78,-0.03941,-54.33273,-0.03916
0.79,-0.03916,-54.311,-0.03891
0.8,-0.03891,-54.28627,-0.03905
0.81,-0.03905,-54.2737,-0.03927
0.8200000000000001,-0.03927,-54.26368,-0.0401
0.8300000000000001,-0.0401,-54.25435,-0.04107
0.84,-0.04107,-54.24517,-0.04178
0.85,-0.04178,-54.23429,-0.04243
0.86,-0.04243,-54.22306,-0.04281
0.87,-0.04281,-54.23352,-0.04313
0.88,-0.04313,-54.24853,-0.04334
0.89,-0.04334,-54.24943,-0.04354
0.9,-0.04354,-54.24737,-0.04323
0.91,-0.04323,-54.25001,-0.04282
0.92,-0.04282,-54.25365,-0.04236
0.93,-0.04236,-54.25299,-0.0419
0.9400000000000001,-0.0419,-54.25144,-0.04124
0.9500000000000001,-0.04124,-54.24023,-0.04053
0.96,-0.04053,-54.22698,-0.04008
0.97,-0.04008,-54.22642,-0.0397
0.98,-0.0397,-54.22851,-0.03912
0.99,-0.03912,-54.22443,-0.0385
1.0,-0.0385,-54.21905,-0.0381
1.01,-0.0381,-54.20543,-0.03774
1.02,-0.03774,-54.19009,-0.03811
1.03,-0.03811,-54.19354,-0.03864
